"File_250328_154150_10-5 - RawData"
"Wavelength nm.","Abs."
400.00,0.651
401.00,0.557
402.00,0.465
403.00,0.388
404.00,0.326
405.00,0.273
406.00,0.228
407.00,0.190
408.00,0.158
409.00,0.133
410.00,0.112
411.00,0.095
412.00,0.082
413.00,0.070
414.00,0.060
415.00,0.053
416.00,0.047
417.00,0.040
418.00,0.035
419.00,0.031
420.00,0.027
421.00,0.024
422.00,0.021
423.00,0.019
424.00,0.016
425.00,0.015
426.00,0.013
427.00,0.011
428.00,0.010
429.00,0.009
430.00,0.007
431.00,0.006
432.00,0.005
433.00,0.005
434.00,0.004
435.00,0.003
436.00,0.002
437.00,0.001
438.00,0.001
439.00,0.000
440.00,-0.001
441.00,-0.001
442.00,-0.002
443.00,-0.002
444.00,-0.003
445.00,-0.003
446.00,-0.004
447.00,-0.004
448.00,-0.005
449.00,-0.005
450.00,-0.006
451.00,-0.006
452.00,-0.006
453.00,-0.007
454.00,-0.007
455.00,-0.007
456.00,-0.008
457.00,-0.008
458.00,-0.009
459.00,-0.009
460.00,-0.009
461.00,-0.010
462.00,-0.010
463.00,-0.010
464.00,-0.010
465.00,-0.011
466.00,-0.011
467.00,-0.011
468.00,-0.012
469.00,-0.012
470.00,-0.012
471.00,-0.012
472.00,-0.012
473.00,-0.013
474.00,-0.013
475.00,-0.013
476.00,-0.013
477.00,-0.013
478.00,-0.014
479.00,-0.014
480.00,-0.014
481.00,-0.014
482.00,-0.014
483.00,-0.014
484.00,-0.015
485.00,-0.015
486.00,-0.015
487.00,-0.015
488.00,-0.015
489.00,-0.015
490.00,-0.015
491.00,-0.016
492.00,-0.016
493.00,-0.016
494.00,-0.016
495.00,-0.016
496.00,-0.016
497.00,-0.016
498.00,-0.016
499.00,-0.016
500.00,-0.017
501.00,-0.017
502.00,-0.017
503.00,-0.017
504.00,-0.017
505.00,-0.017
506.00,-0.017
507.00,-0.017
508.00,-0.017
509.00,-0.017
510.00,-0.017
511.00,-0.017
512.00,-0.018
513.00,-0.018
514.00,-0.018
515.00,-0.018
516.00,-0.018
517.00,-0.018
518.00,-0.018
519.00,-0.018
520.00,-0.018
521.00,-0.018
522.00,-0.018
523.00,-0.018
524.00,-0.018
525.00,-0.018
526.00,-0.018
527.00,-0.018
528.00,-0.018
529.00,-0.018
530.00,-0.019
531.00,-0.019
532.00,-0.019
533.00,-0.019
534.00,-0.019
535.00,-0.019
536.00,-0.020
537.00,-0.019
538.00,-0.019
539.00,-0.019
540.00,-0.019
541.00,-0.019
542.00,-0.019
543.00,-0.019
544.00,-0.019
545.00,-0.019
546.00,-0.019
547.00,-0.019
548.00,-0.019
549.00,-0.019
550.00,-0.019
551.00,-0.019
552.00,-0.019
553.00,-0.019
554.00,-0.019
555.00,-0.019
556.00,-0.019
557.00,-0.019
558.00,-0.019
559.00,-0.019
560.00,-0.019
561.00,-0.019
562.00,-0.019
563.00,-0.019
564.00,-0.019
565.00,-0.019
566.00,-0.019
567.00,-0.019
568.00,-0.019
569.00,-0.019
570.00,-0.019
571.00,-0.019
572.00,-0.020
573.00,-0.020
574.00,-0.020
575.00,-0.020
576.00,-0.020
577.00,-0.020
578.00,-0.020
579.00,-0.020
580.00,-0.020
581.00,-0.020
582.00,-0.020
583.00,-0.020
584.00,-0.020
585.00,-0.020
586.00,-0.020
587.00,-0.020
588.00,-0.020
589.00,-0.020
590.00,-0.020
591.00,-0.020
592.00,-0.020
593.00,-0.020
594.00,-0.020
595.00,-0.020
596.00,-0.020
597.00,-0.021
598.00,-0.021
599.00,-0.020
600.00,-0.020
601.00,-0.020
602.00,-0.020
603.00,-0.020
604.00,-0.020
605.00,-0.020
606.00,-0.020
607.00,-0.020
608.00,-0.020
609.00,-0.020
610.00,-0.021
611.00,-0.021
612.00,-0.021
613.00,-0.021
614.00,-0.021
615.00,-0.021
616.00,-0.021
617.00,-0.021
618.00,-0.021
619.00,-0.021
620.00,-0.021
621.00,-0.021
622.00,-0.021
623.00,-0.022
624.00,-0.022
625.00,-0.022
626.00,-0.022
627.00,-0.022
628.00,-0.022
629.00,-0.022
630.00,-0.022
631.00,-0.022
632.00,-0.022
633.00,-0.022
634.00,-0.023
635.00,-0.023
636.00,-0.023
637.00,-0.023
638.00,-0.023
639.00,-0.023
640.00,-0.023
641.00,-0.023
642.00,-0.023
643.00,-0.023
644.00,-0.023
645.00,-0.023
646.00,-0.024
647.00,-0.024
648.00,-0.024
649.00,-0.024
650.00,-0.024
651.00,-0.024
652.00,-0.024
653.00,-0.024
654.00,-0.024
655.00,-0.024
656.00,-0.024
657.00,-0.024
658.00,-0.024
659.00,-0.024
660.00,-0.024
661.00,-0.024
662.00,-0.024
663.00,-0.024
664.00,-0.024
665.00,-0.024
666.00,-0.024
667.00,-0.024
668.00,-0.024
669.00,-0.024
670.00,-0.024
671.00,-0.024
672.00,-0.024
673.00,-0.024
674.00,-0.024
675.00,-0.024
676.00,-0.024
677.00,-0.024
678.00,-0.024
679.00,-0.024
680.00,-0.024
681.00,-0.024
682.00,-0.024
683.00,-0.024
684.00,-0.024
685.00,-0.025
686.00,-0.025
687.00,-0.025
688.00,-0.025
689.00,-0.025
690.00,-0.025
691.00,-0.025
692.00,-0.025
693.00,-0.025
694.00,-0.025
695.00,-0.025
696.00,-0.025
697.00,-0.025
698.00,-0.024
699.00,-0.025
700.00,-0.025
701.00,-0.024
702.00,-0.024
703.00,-0.024
704.00,-0.024
705.00,-0.024
706.00,-0.024
707.00,-0.024
708.00,-0.024
709.00,-0.024
710.00,-0.024
711.00,-0.024
712.00,-0.024
713.00,-0.024
714.00,-0.024
715.00,-0.024
716.00,-0.024
717.00,-0.025
718.00,-0.024
719.00,-0.024
720.00,-0.024
721.00,-0.025
722.00,-0.024
723.00,-0.024
724.00,-0.024
725.00,-0.024
726.00,-0.024
727.00,-0.024
728.00,-0.024
729.00,-0.024
730.00,-0.024
731.00,-0.024
732.00,-0.024
733.00,-0.023
734.00,-0.023
735.00,-0.023
736.00,-0.023
737.00,-0.023
738.00,-0.023
739.00,-0.022
740.00,-0.022
741.00,-0.022
742.00,-0.022
743.00,-0.022
744.00,-0.022
745.00,-0.022
746.00,-0.022
747.00,-0.022
748.00,-0.022
749.00,-0.023
750.00,-0.023
751.00,-0.023
752.00,-0.023
753.00,-0.023
754.00,-0.023
755.00,-0.023
756.00,-0.023
757.00,-0.023
758.00,-0.023
759.00,-0.023
760.00,-0.022
761.00,-0.023
762.00,-0.024
763.00,-0.024
764.00,-0.024
765.00,-0.024
766.00,-0.024
767.00,-0.024
768.00,-0.024
769.00,-0.024
770.00,-0.024
771.00,-0.024
772.00,-0.024
773.00,-0.025
774.00,-0.024
775.00,-0.024
776.00,-0.025
777.00,-0.025
778.00,-0.025
779.00,-0.025
780.00,-0.025
781.00,-0.025
782.00,-0.025
783.00,-0.025
784.00,-0.025
785.00,-0.025
786.00,-0.025
787.00,-0.025
788.00,-0.025
789.00,-0.025
790.00,-0.025
791.00,-0.025
792.00,-0.025
793.00,-0.025
794.00,-0.025
795.00,-0.025
796.00,-0.025
797.00,-0.025
798.00,-0.025
799.00,-0.025
800.00,-0.025
801.00,-0.024
802.00,-0.024
803.00,-0.024
804.00,-0.024
805.00,-0.024
806.00,-0.024
807.00,-0.024
808.00,-0.024
809.00,-0.024
810.00,-0.024
811.00,-0.024
812.00,-0.024
813.00,-0.024
814.00,-0.024
815.00,-0.024
816.00,-0.024
