"AirBaseline_EmptyGlass1 - RawData"
"Wavelength nm.","Abs."
400.00,0.079
401.00,0.079
402.00,0.079
403.00,0.079
404.00,0.079
405.00,0.079
406.00,0.079
407.00,0.079
408.00,0.079
409.00,0.079
410.00,0.079
411.00,0.079
412.00,0.079
413.00,0.079
414.00,0.079
415.00,0.079
416.00,0.081
417.00,0.079
418.00,0.079
419.00,0.079
420.00,0.079
421.00,0.079
422.00,0.079
423.00,0.079
424.00,0.079
425.00,0.079
426.00,0.079
427.00,0.079
428.00,0.079
429.00,0.079
430.00,0.079
431.00,0.079
432.00,0.079
433.00,0.079
434.00,0.079
435.00,0.079
436.00,0.079
437.00,0.079
438.00,0.078
439.00,0.078
440.00,0.078
441.00,0.078
442.00,0.078
443.00,0.078
444.00,0.078
445.00,0.078
446.00,0.078
447.00,0.078
448.00,0.078
449.00,0.078
450.00,0.078
451.00,0.078
452.00,0.078
453.00,0.078
454.00,0.078
455.00,0.078
456.00,0.078
457.00,0.078
458.00,0.078
459.00,0.077
460.00,0.078
461.00,0.077
462.00,0.077
463.00,0.077
464.00,0.077
465.00,0.077
466.00,0.077
467.00,0.077
468.00,0.077
469.00,0.077
470.00,0.077
471.00,0.077
472.00,0.077
473.00,0.077
474.00,0.077
475.00,0.077
476.00,0.077
477.00,0.077
478.00,0.077
479.00,0.077
480.00,0.077
481.00,0.077
482.00,0.077
483.00,0.077
484.00,0.077
485.00,0.077
486.00,0.077
487.00,0.077
488.00,0.077
489.00,0.077
490.00,0.077
491.00,0.076
492.00,0.076
493.00,0.076
494.00,0.076
495.00,0.076
496.00,0.076
497.00,0.076
498.00,0.076
499.00,0.076
500.00,0.076
501.00,0.076
502.00,0.076
503.00,0.076
504.00,0.076
505.00,0.076
506.00,0.076
507.00,0.076
508.00,0.076
509.00,0.076
510.00,0.076
511.00,0.076
512.00,0.076
513.00,0.076
514.00,0.076
515.00,0.076
516.00,0.076
517.00,0.076
518.00,0.076
519.00,0.076
520.00,0.076
521.00,0.076
522.00,0.076
523.00,0.076
524.00,0.076
525.00,0.076
526.00,0.076
527.00,0.076
528.00,0.076
529.00,0.076
530.00,0.076
531.00,0.075
532.00,0.076
533.00,0.076
534.00,0.075
535.00,0.075
536.00,0.074
537.00,0.075
538.00,0.075
539.00,0.075
540.00,0.075
541.00,0.075
542.00,0.075
543.00,0.075
544.00,0.075
545.00,0.075
546.00,0.075
547.00,0.075
548.00,0.075
549.00,0.075
550.00,0.075
551.00,0.075
552.00,0.075
553.00,0.075
554.00,0.075
555.00,0.075
556.00,0.075
557.00,0.075
558.00,0.075
559.00,0.075
560.00,0.075
561.00,0.075
562.00,0.075
563.00,0.075
564.00,0.075
565.00,0.075
566.00,0.075
567.00,0.075
568.00,0.075
569.00,0.075
570.00,0.075
571.00,0.075
572.00,0.075
573.00,0.075
574.00,0.075
575.00,0.074
576.00,0.075
577.00,0.075
578.00,0.074
579.00,0.075
580.00,0.074
581.00,0.075
582.00,0.075
583.00,0.074
584.00,0.075
585.00,0.074
586.00,0.075
587.00,0.074
588.00,0.074
589.00,0.074
590.00,0.074
591.00,0.074
592.00,0.075
593.00,0.074
594.00,0.074
595.00,0.074
596.00,0.074
597.00,0.074
598.00,0.074
599.00,0.074
600.00,0.074
601.00,0.074
602.00,0.074
603.00,0.074
604.00,0.074
605.00,0.074
606.00,0.074
607.00,0.074
608.00,0.074
609.00,0.074
610.00,0.074
611.00,0.074
612.00,0.074
613.00,0.074
614.00,0.074
615.00,0.074
616.00,0.074
617.00,0.074
618.00,0.074
619.00,0.074
620.00,0.074
621.00,0.074
622.00,0.074
623.00,0.074
624.00,0.074
625.00,0.074
626.00,0.074
627.00,0.074
628.00,0.074
629.00,0.074
630.00,0.074
631.00,0.074
632.00,0.074
633.00,0.074
634.00,0.074
635.00,0.074
636.00,0.074
637.00,0.074
638.00,0.074
639.00,0.074
640.00,0.074
641.00,0.074
642.00,0.074
643.00,0.074
644.00,0.074
645.00,0.074
646.00,0.074
647.00,0.074
648.00,0.074
649.00,0.074
650.00,0.074
651.00,0.074
652.00,0.074
653.00,0.074
654.00,0.074
655.00,0.074
656.00,0.074
657.00,0.074
658.00,0.074
659.00,0.074
660.00,0.074
661.00,0.074
662.00,0.074
663.00,0.074
664.00,0.074
665.00,0.074
666.00,0.074
667.00,0.074
668.00,0.074
669.00,0.074
670.00,0.074
671.00,0.074
672.00,0.074
673.00,0.074
674.00,0.074
675.00,0.074
676.00,0.074
677.00,0.074
678.00,0.074
679.00,0.074
680.00,0.074
681.00,0.074
682.00,0.073
683.00,0.074
684.00,0.074
685.00,0.074
686.00,0.073
687.00,0.074
688.00,0.074
689.00,0.073
690.00,0.074
691.00,0.074
692.00,0.074
693.00,0.073
694.00,0.074
695.00,0.074
696.00,0.073
697.00,0.073
698.00,0.074
699.00,0.074
700.00,0.073
701.00,0.074
702.00,0.074
703.00,0.074
704.00,0.073
705.00,0.074
706.00,0.074
707.00,0.073
708.00,0.073
709.00,0.074
710.00,0.074
711.00,0.073
712.00,0.073
713.00,0.074
714.00,0.074
715.00,0.073
