"2025-05-08_SoFlexII_1 - RawData"
"Wavelength nm.","Abs."
400.00,0.094
401.00,0.090
402.00,0.085
403.00,0.081
404.00,0.077
405.00,0.073
406.00,0.069
407.00,0.065
408.00,0.061
409.00,0.058
410.00,0.055
411.00,0.051
412.00,0.049
413.00,0.046
414.00,0.043
415.00,0.041
416.00,0.040
417.00,0.037
418.00,0.034
419.00,0.032
420.00,0.030
421.00,0.028
422.00,0.026
423.00,0.024
424.00,0.023
425.00,0.021
426.00,0.019
427.00,0.018
428.00,0.017
429.00,0.015
430.00,0.014
431.00,0.012
432.00,0.011
433.00,0.010
434.00,0.009
435.00,0.007
436.00,0.006
437.00,0.005
438.00,0.004
439.00,0.003
440.00,0.002
441.00,0.001
442.00,0.000
443.00,-0.001
444.00,-0.002
445.00,-0.003
446.00,-0.004
447.00,-0.004
448.00,-0.005
449.00,-0.006
450.00,-0.007
451.00,-0.007
452.00,-0.008
453.00,-0.009
454.00,-0.010
455.00,-0.010
456.00,-0.011
457.00,-0.012
458.00,-0.012
459.00,-0.013
460.00,-0.013
461.00,-0.014
462.00,-0.015
463.00,-0.015
464.00,-0.016
465.00,-0.016
466.00,-0.017
467.00,-0.017
468.00,-0.018
469.00,-0.018
470.00,-0.019
471.00,-0.019
472.00,-0.019
473.00,-0.020
474.00,-0.020
475.00,-0.020
476.00,-0.021
477.00,-0.021
478.00,-0.021
479.00,-0.021
480.00,-0.022
481.00,-0.022
482.00,-0.022
483.00,-0.023
484.00,-0.023
485.00,-0.023
486.00,-0.023
487.00,-0.023
488.00,-0.024
489.00,-0.024
490.00,-0.024
491.00,-0.024
492.00,-0.025
493.00,-0.025
494.00,-0.025
495.00,-0.025
496.00,-0.025
497.00,-0.026
498.00,-0.026
499.00,-0.026
500.00,-0.026
501.00,-0.026
502.00,-0.027
503.00,-0.027
504.00,-0.027
505.00,-0.027
506.00,-0.027
507.00,-0.027
508.00,-0.027
509.00,-0.028
510.00,-0.028
511.00,-0.028
512.00,-0.028
513.00,-0.028
514.00,-0.028
515.00,-0.028
516.00,-0.028
517.00,-0.029
518.00,-0.029
519.00,-0.029
520.00,-0.029
521.00,-0.029
522.00,-0.029
523.00,-0.029
524.00,-0.029
525.00,-0.029
526.00,-0.029
527.00,-0.029
528.00,-0.030
529.00,-0.030
530.00,-0.030
531.00,-0.030
532.00,-0.030
533.00,-0.030
534.00,-0.030
535.00,-0.031
536.00,-0.031
537.00,-0.031
538.00,-0.031
539.00,-0.031
540.00,-0.031
541.00,-0.031
542.00,-0.031
543.00,-0.031
544.00,-0.031
545.00,-0.031
546.00,-0.031
547.00,-0.031
548.00,-0.031
549.00,-0.032
550.00,-0.032
551.00,-0.032
552.00,-0.032
553.00,-0.032
554.00,-0.032
555.00,-0.032
556.00,-0.032
557.00,-0.032
558.00,-0.032
559.00,-0.032
560.00,-0.032
561.00,-0.032
562.00,-0.032
563.00,-0.032
564.00,-0.032
565.00,-0.032
566.00,-0.032
567.00,-0.032
568.00,-0.032
569.00,-0.032
570.00,-0.032
571.00,-0.032
572.00,-0.032
573.00,-0.033
574.00,-0.033
575.00,-0.033
576.00,-0.033
577.00,-0.033
578.00,-0.033
579.00,-0.033
580.00,-0.033
581.00,-0.033
582.00,-0.033
583.00,-0.033
584.00,-0.033
585.00,-0.033
586.00,-0.033
587.00,-0.033
588.00,-0.033
589.00,-0.033
590.00,-0.033
591.00,-0.033
592.00,-0.033
593.00,-0.033
594.00,-0.033
595.00,-0.033
596.00,-0.033
597.00,-0.033
598.00,-0.033
599.00,-0.033
600.00,-0.033
601.00,-0.033
602.00,-0.033
603.00,-0.033
604.00,-0.033
605.00,-0.033
606.00,-0.033
607.00,-0.033
608.00,-0.033
609.00,-0.033
610.00,-0.033
611.00,-0.033
612.00,-0.033
613.00,-0.033
614.00,-0.033
615.00,-0.033
616.00,-0.033
